nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
1148	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_SW_SDCTOOL_REGRIM_RECORD exists for all risks related to lighting, power outages, theft, interference with communications, electrical interference, and changes in environmental conditions, such as humidity and temperature, which can cause disruptions in information processing activities, specifying the measures that are designed and implemented.						RIM				
1149	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		DOC is a class of MIC.		CHM	MIR							
1150	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1151	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1152	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		DOC_PROFILE_TASK_equipmentsiting exist, responsible for siteing equipment securely and protected.		CHM	MIR						ORG	
1153	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ORG is a class of MIC.		CHM	MIR						ORG	
1154	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1155	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1156	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_equipmentsiting.		CHM	MIR						ORG	
1157	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.	We need to identify the assets that are used off-site. Risks for protection of off-site assets are defined and handled to protect these assets.											
1158	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ASSET is a class of MIC.		CHM	MIR							
1159	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1160	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1161	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ASSET_SW_SDCTOOL_REGRIM is a Register for Risks in the  ASSET_SW_SDCTOOL.						RIM	TECH	SDC		
1162	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ASSET_SW_SDCTOOL_REGRIM_RECORD exists for all risks related to ASSET that is sited off-site, i.e. not in the organization's LOC_PREMISE, specifying the measures that are designed and implemented.						RIM				
1163	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		DOC is a class of MIC.		CHM	MIR							
1164	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1165	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1166	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		DOC_PROFILE_TASK_protectoffsiteassets exist, responsible for protecting off-site assets.		CHM	MIR						ORG	
1167	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ORG is a class of MIC.		CHM	MIR						ORG	
1168	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1169	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1170	Physical Controls	Annex A 7.9	Security of Assets Off-Premises	Off-site assets shall be protected.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_protectoffsiteassets x.		CHM	MIR						ORG	
1171	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.	Storage media shall be registered in the MIR. Storage media MIC has lifecycle stages. The organization has a policy that specifies the classification  and handling of all Storage media.											
1172	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET is a class of MIC.		CHM	MIR							
1173	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_HW is an Asset type Hardware.		CHM	MIR				TECH			
1174	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_HW_STOR is an Asset type Hardware type Storage media.		CHM	MIR				TECH			
1175	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC is a class of MIC.		CHM	MIR							
1176	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
1177	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC_ROUTINE_WFL2 is a Document type ROUTINE type WFL2 for USM workflow 2, handling changes conform DOC_PROCESS_CHM.		CHM	MIR							
1178	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
1179	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC_POLICY_storclass specifies the organization’s classification scheme and handling requirements for ASSET_HW_STOR.		CHM	MIR							
1180	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		DOC_ROUTINE_WFL2 uses DOC_POLICY_storclass when changing the status of any ASSET_HW_STOR, in terms of acquisition, transportation and disposal.		CHM	MIR							
1181	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1182	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1183	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
1184	Physical Controls	Annex A 7.10	Storage Media	Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for acquiring storage media, transporting these storage media, and disposing of storage media, in accordance with the organization’s classification scheme and handling requirements.		CHM					TECH	SDC		
